STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
1,0,JAMMU & KASHMIR,0,JAMMU & KASHMIR,0,JAMMU & KASHMIR,"JAMMU & KASHMIR,JAMMU & KASHMIR,JAMMU & KASHMIR,India"
1,1,Kupwara,0,Kupwara,0,Kupwara,"Kupwara,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,0,Kupwara,"Kupwara,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,1,Bore,"Bore,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,2,Keran,"Keran,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,3,Bugna,"Bugna,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,4,Bichwal,"Bichwal,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,5,Mindiyan,"Mindiyan,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,6,Patrin,"Patrin,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,7,Juma Gund ,"Juma Gund,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,8,Khantha Wali (Shalun Bhatta),"Khantha Wali (Shalun Bhatta),Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,9,Har Duing,"Har Duing,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,10,Chunti Wari,"Chunti Wari,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,11,Dudi,"Dudi,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,12,Dab Bal,"Dab Bal,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,13,Misri Behak,"Misri Behak,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,14,Machil,"Machil,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,15,Push Wari,"Push Wari,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,16,Khurhama,"Khurhama,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,17,Sever Thendi Pora,"Sever Thendi Pora,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,18,Warnow ,"Warnow,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,19,Tekiya Khurhama,"Tekiya Khurhama,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,20,Kuligam,"Kuligam,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,21,Maidan Pora,"Maidan Pora,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,22,Sayiwan ,"Sayiwan,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,23,Daramwari,"Daramwari,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,24,Lal Pora,"Lal Pora,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,25,Redi Nag,"Redi Nag,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,26,Dard Pora,"Dard Pora,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,27,Muqam Shrif Dar,"Muqam Shrif Dar,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,28,Muqam Lolab,"Muqam Lolab,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,29,Hayat Pora,"Hayat Pora,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,30,Rukh Gund Macher,"Rukh Gund Macher,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,31,Thun Doosa,"Thun Doosa,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,32,Dever Inder Bug,"Dever Inder Bug,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,33,Teki Pora,"Teki Pora,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,34,Drooch Wani,"Drooch Wani,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,35,Chandi Gam,"Chandi Gam,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,36,Chrali Gund,"Chrali Gund,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,37,Sogam ,"Sogam,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,38,Tung Check,"Tung Check,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,39,Gung Bug,"Gung Bug,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,40,Krohsan,"Krohsan,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,41,Putushy,"Putushy,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,42,Gagal,"Gagal,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,43,Wavoora,"Wavoora,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,44,Sorigam,"Sorigam,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,45,Khanti Pora,"Khanti Pora,Kupwara,Kupwara,India"
1,1,Kupwara,1,Kupwara,46,Doni Wari,"Doni Wari,Kupwara,Kupwara,India"
